,link,text,date,No_of_likes,No_of_tweets
52,https://twitter.com/panamaorange/status/1386771320290123781#m,"Anyone who owns a mansion , wine,collectible cars, paintings will make money on inflation. The problem with all of those things is theyre very fragile. If a jumbo jet crashes into a mansion filled with them,the gold & silver are the only things that would fully survive the rubble","Apr 26, 2021 · 7:57 PM UTC",2,1
53,https://twitter.com/blacsheep369/status/1386763223068594176#m,Inspiration of JumboJet carrying the space shuttle !!,"Apr 26, 2021 · 7:24 PM UTC",0,0
54,https://twitter.com/sudhansuverma/status/1386754404271804417#m,And roam in Ferrari/ land Rover/Jumbo Jet/helicopter etc. Gajab fakeeri hai..,"Apr 26, 2021 · 6:49 PM UTC",1,0
55,https://twitter.com/HorselessAge/status/1386706868580593664#m,"Folks if you think this is wasteful just know that every one of the 21k Cadillac Allantés GM built was flown from the Pininfarina factory in Italy to Detroit on a jumbo jet  And we didn’t even get a cool LRV out of it, we got a damn fwd, automatic-only Cadillac Allanté","Apr 26, 2021 · 3:40 PM UTC",3,1
56,https://twitter.com/thisis_Goutham_/status/1386702532714455040#m,Sidhu used to call him Jumbo Jet . Since then he got nickname as jumbo .,"Apr 26, 2021 · 3:23 PM UTC",0,1
57,https://twitter.com/Turbo_Flow/status/1386695482051805186#m,YO YOUTUBE TOLD ME I HAVE ENOUGH SUBS TO FILL A JUMBO JET NOW POGU,"Apr 26, 2021 · 2:55 PM UTC",3,1
58,https://twitter.com/framness/status/1386677976637530115#m,A buddy was a long haul jumbo jet captain. He never bothered with that as he viewed it as more hassle than what it was worth. He also talks about how there is an occasional accidental discharge of said weapons.,"Apr 26, 2021 · 1:46 PM UTC",0,0
59,https://twitter.com/Sir_Doris/status/1386673666000400388#m,A bumblebee that sounded like a jumbo jet (a buff-tailed queen I think) just visited our wild flower patch. She's the biggest bee I've ever seen and I'm amazed her wings hold her up! @BumblebeeTrust,"Apr 26, 2021 · 1:28 PM UTC",13,1
60,https://twitter.com/weabrest/status/1386660696033677317#m,Jumbo Jet ! 笑 おめでとうー！👏👏,"Apr 26, 2021 · 12:37 PM UTC",0,0
61,https://twitter.com/LiamLambrini/status/1386658886149722114#m,my kingdom for a washing machine that doesn’t sound like a jumbo jet taking off,"Apr 26, 2021 · 12:30 PM UTC",5,0
62,https://twitter.com/KokRobin/status/1386644198632431617#m,"Ik heb een hele stapel bordspellen die weg moeten. Zou iemand daar belangstelling voor zijn? Risk, monopoly, stratego, triviant, pictonary, jumbo jet, can't stop, shogun. Ik ben van 1966, dus kun je bedenken hoe oud ze zijn. :-)","Apr 26, 2021 · 11:31 AM UTC",0,2
63,https://twitter.com/B748Driver/status/1386634288624398341#m,#cargolux #cargoluxitalia #planespotting #planespotter #aviation #aviationlovers #aviationphotography #airlines #crewlife #avgeek #flying #learn2fly #pilot #airlines #pilotlife #flying #aeronautica #aircraft #cargolux747 #narita #hongkong #boeing #b747 #jumbojet #aircargo #Cargo,"Apr 26, 2021 · 10:52 AM UTC",0,0
